#n_killed,n_injured,latitude,longitude,gun_involved,district
1,0,29.9768,90.055,0,93
0,1,37.1302,113.416,0,71
0,1,41.049,85.0909,0,80
1,0,29.8863,90.1087,0,87
0,0,38.0795,89.383,1,116
0,1,40.8179,73.8628,0,85
0,1,38.434,105.264,0,60
0,1,40.8623,73.8959,0,78
0,2,33.5922,101.818,0,84
0,0,41.1508,100.78,0,0
0,0,32.7187,80.1029,0,116
0,0,29.7654,95.3663,0,145
0,1,42.4751,70.9697,0,0
0,0,37.1422,76.5355,0,95
0,0,30.6884,87.048,1,3
0,0,26.6336,81.8601,0,78
1,0,29.8862,90.1087,1,87
0,3,33.2482,87.567,0,61
1,0,31.3762,90.5601,1,53
0,0,39.7981,75.0288,0,4
0,1,33.9354,79.9326,0,61
0,0,42.6828,89.0187,0,44
1,0,31.7839,86.1926,0,90
1,0,33.4464,112.258,0,19
1,0,21.9986,159.356,1,15
0,1,47.5498,122.318,0,11
0,3,25.5155,80.4089,0,117
1,0,28.5064,81.1511,0,50
0,0,28.4907,81.4077,0,46
0,1,38.4333,84.3542,1,78
1,1,28.4532,81.389,0,48
0,1,41.6824,83.5364,0,44
0,1,37.6498,97.3086,0,98
1,0,41.0679,85.0921,0,80
0,2,30.0454,89.9837,0,100
1,0,38.7649,76.8712,0,0
0,0,38.9275,77.0089,0,0
0,0,37.3691,81.0813,0,27
0,0,42.1165,72.586,0,0
0,0,32.6184,83.6728,0,147
1,0,35.663,101.404,0,87
0,0,43.0711,87.8977,0,19
0,0,42.9887,71.4554,0,0
0,1,28.899,81.2615,0,27
0,2,41.8253,71.4143,0,2
0,1,34.9624,77.9622,0,4
0,0,31.4674,110.974,0,2
0,2,27.9447,82.4842,0,60
0,0,41.6011,83.6245,0,44
0,1,35.7688,78.6173,0,33
0,0,40.9752,75.9845,0,0
1,0,42.8913,78.8659,0,141
0,1,39.2857,76.5682,0,46
1,2,36.8508,76.2859,0,80
0,1,29.8877,93.9602,0,22
1,0,37.3389,120.497,0,21
1,0,38.9554,76.8782,0,22
0,0,37.7953,85.6381,0,0
1,0,36.737,119.773,0,31
0,1,34.1481,118.209,0,43
1,1,33.5922,101.818,0,84
0,1,48.098,122.322,0,38
0,0,34.6347,98.4222,0,64
0,2,39.9394,91.4067,0,94
0,0,36.0633,79.7785,0,58
0,0,39.8258,75.0659,0,4
0,2,39.9168,74.9485,0,7
0,0,40.7951,74.1562,0,29
0,1,47.6017,122.299,0,37
0,1,40.884,74.5621,0,25
0,0,47.5337,122.372,0,34
0,0,32.4763,84.9861,0,135
0,0,33.0363,90.0028,0,47
0,2,41.7001,73.9158,0,104
0,0,37.1446,93.3448,0,133
0,1,34.2409,88.6754,0,16
0,0,38.8847,77.1672,0,53
0,1,33.8158,79.1228,0,58
1,0,32.8458,80.0293,0,111
0,1,41.3083,72.9279,0,96
0,1,38.2501,85.815,0,0
0,4,41.7035,87.6259,0,28
0,0,36.1459,80.251,0,72
1,0,40.6838,73.9075,1,54
0,2,35.5711,96.0152,0,24
0,1,34.0027,86.0355,0,28
0,1,32.433,84.9255,0,136
0,1,40.0331,75.1069,0,0
0,0,42.5085,94.1894,1,9
0,3,34.2514,85.4531,0,12
0,3,41.04,85.1163,0,80
0,0,65.3198,151.89,0,39
0,0,34.7314,92.259,0,36
0,0,29.9674,90.0581,0,99
0,1,35.6029,77.3481,0,9
0,0,31.3445,109.557,0,14
0,0,34.735,86.6314,0,53
0,0,29.9861,90.0595,0,97
0,0,34.7954,86.6138,0,19
0,1,39.7751,104.948,0,5
0,1,41.6024,72.6964,0,32
1,0,32.3157,89.1528,0,84
1,0,33.4717,86.8846,0,52
0,0,40.1015,83.0127,0,21
1,0,39.2766,76.7403,0,12
0,1,42.4142,82.9582,0,3
0,1,34.1259,118.186,0,51
0,0,33.7475,84.3003,0,83
1,0,39.2056,96.068,0,61
1,2,42.3484,83.0597,0,6
0,1,32.4921,93.7789,0,2
0,1,40.6155,74.0816,0,61
0,1,40.6804,73.9167,0,55
0,0,39.4284,75.2254,0,3
0,0,41.9873,87.6582,0,14
1,0,38.814,104.749,0,17
0,1,27.3034,98.6823,0,31
0,1,43.1027,87.9752,0,17
0,0,35.8255,88.9093,0,79
0,0,36.7515,76.3443,0,81
0,1,41.4515,81.7724,0,13
0,0,33.4347,112.006,0,27
1,1,26.7875,80.0714,0,88
0,1,29.4769,98.513,0,123
1,0,36.9303,82.2722,0,4
0,1,27.7515,97.4432,0,34
0,1,40.7214,74.0701,0,31
0,0,31.0843,97.6373,0,54
0,0,43.0889,79.0488,0,145
0,1,36.7987,76.3975,0,77
0,1,40.2138,74.8426,0,0
0,1,32.8671,97.3165,0,93
0,1,37.0959,76.4894,0,94
0,1,42.4684,70.9617,0,0
0,0,43.0199,87.9896,0,7
0,1,39.3499,76.6721,0,41
0,1,36.9875,76.4097,0,95
0,0,36.1989,115.118,0,6
